entity_id,email,city,amount,status,order_date,record_id,source,entityId,orderDate,ENTITY_ID,EMAIL,CITY,AMOUNT,STATUS,ORDER_DATE
ORDERS-00000000,laurentnicole@example.com,Dieburg,3197.49,new,2025-04-06,S1-000000000,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
ORDERS-00000001,mauryaudrey@example.org,Fürstenwalde,3708.01,new,2025-09-10,S1-000000001,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
ORDERS-00000002,guilbertlouis@example.net,Humbert-sur-Mer,1116.83,error,2025-10-12,S1-000000002,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
ORDERS-00000003,blakeerik@example.com,Ericmouth,513.37,error,2025-04-03,S1-000000003,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
ORDERS-00000004,howardmaurice@example.com,Pinneberg,4461.01,new,2026-02-19,S1-000000004,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
ORDERS-00000005,arnoldmaria@example.net,Lake Chad,2952.87,new,2025-05-25,S1-000000005,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
ORDERS-00000006,wyattmichelle@example.com,Reidstad,149.96,new,2025-07-19,S1-000000006,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
ORDERS-00000007,elizabethmiles@example.net,Saint Élisabeth-sur-Mer,1164.07,error,2025-08-24,S1-000000007,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
ORDERS-00000008,veronica83@example.net,East Lydiamouth,133.65,new,2025-06-09,S1-000000008,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
ORDERS-00000009,sigridrosenow@example.net,Lake Victor,3580.38,UNKNOWN,2025-08-23,S1-000000009,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
